CIP_Sample_Code	UCD_Sample_Code	UCD_Sample_Numeric	Non_inducer	Inducer	Monica_ploidy	KRA_Background_Ploidy	Monica_KRA_ploidy_concordant	KRA_aneuploidy_notes	Predicted_chrom_number	Parent_assoc_aneuploidy	Phureja_marker_phenotype	Other notes	numerical_aneuploidy	broken_chromosome
CIP516003.011	MM840	840	Atlantic	IVP35	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516003.012	MM841	841	Atlantic	IVP35	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516008.020	MM842	842	LR00014	PL4	2x	2x	TRUE	2x+8S.8L	25	non-inducer	putDH	NA	numerical	.
CIP316610.100	MM843	843	LR00022	PL4	4x	NA	NA	clean	24	NA	PM	withhold	.	.
CIP316610.101	MM844	844	LR00022	PL4	2x	NA	NA	clean	24	NA	putDH	withhold	.	.
CIP316610.102	MM845	845	LR00022	PL4	2x	NA	NA	2x+3S.3L	25	non-inducer	putDH	NA	numerical	.
CIP316611.100	MM846	846	C91640	PL4	2x	NA	NA	NA	24	NA	putDH	withhold	.	.
CIP316611.101	MM847	847	C91640	PL4	2x	NA	NA	NA	24	NA	putDH	clean by dosage; snp too noisy to tell	.	.
CIP316611.102	MM848	848	C91640	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316611.103	MM849	849	C91640	PL4	2x	NA	NA	clean	24	NA	putDH	withhold	.	.
CIP316611.104	MM850	850	C91640	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516022.001	MM851	851	Y84027	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516022.002	MM852	852	Y84027	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516022.003	MM853	853	Y84027	PL4	4x	NA	NA	4x+complex8-11L-12S.12L	NA	NA	atiPM	shatter watch	.	broken
CIP516021.001	MM854	854	93.003	PL4	2x	NA	NA	clean	24	NA	atiDH	NA	.	.
CIP516021.002	MM855	855	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.003	MM856	856	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.004	MM857	857	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.005	MM858	858	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.006	MM859	859	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.007	MM860	860	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.008	MM861	861	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.009	MM862	862	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.010	MM863	863	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.011	MM864	864	93.003	PL4	2x	NA	NA	2x+complex5	25	non-inducer	putDH	NA; shatter watch	.	broken
CIP516021.012	MM865	865	93.003	PL4	2x	NA	NA	NA	24	NA	putDH	withhold	.	.
CIP516021.013	MM866	866	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.014	MM867	867	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.015	MM868	868	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.016	MM869	869	93.003	PL4	2x	NA	NA	NA	24	NA	putDH	withhold	.	.
CIP516021.017	MM870	870	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.018	MM871	871	93.003	PL4	2x	NA	NA	NA	24	NA	putDH	withhold	.	.
CIP516021.019	MM872	872	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.020	MM873	873	93.003	PL4	2x	NA	NA	clean	24	NA	atiDH	NA	.	.
CIP516021.021	MM874	874	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP516021.022	MM875	875	93.003	PL4	2x	NA	NA	clean	24	NA	putDH	withhold	.	.
CIP316601.250	MM876	876	C93154	PL4	4x	NA	NA	4x+11S.11L	NA	non-inducer	putDH	not a hybrid	numerical	.
CIP316601.251	MM877	877	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.252	MM878	878	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.253	MM879	879	C93154	PL4	2x	NA	NA	NA	24	NA	putDH	withhold	.	.
CIP316601.254	MM880	880	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.255	MM881	881	C93154	PL4	2x	NA	NA	NA	24	NA	putDH	withhold	.	.
CIP316601.256	MM882	882	C93154	PL4	2x	NA	NA	NA	24	NA	putDH	withhold	.	.
CIP316601.257	MM883	883	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.258	MM884	884	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.259	MM885	885	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	withhold	.	.
CIP316601.260	MM886	886	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.261	MM887	887	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.262	MM888	888	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.263	MM889	889	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.264	MM890	890	C93154	PL4	2x	NA	NA	2x+5S	25	inducer	putDH	shatter watch; Not enough signal with current sequencing depth. Check higher coverage MM890 reads.	.	broken
CIP316601.265	MM891	891	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	withhold	.	.
CIP316601.266	MM892	892	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.267	MM893	893	C93154	PL4	2x	NA	NA	clean	24	NA	atiPM	NA	.	.
CIP316601.268	MM894	894	C93154	PL4	2x	NA	NA	2x+5S.5L	25	non-inducer	putDH	NA	numerical	.
CIP316601.269	MM895	895	C93154	PL4	2x	NA	NA	NA	24	NA	putDH	withhold	.	.
CIP316601.270	MM896	896	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.271	MM897	897	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.272	MM898	898	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.273	MM899	899	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.274	MM900	900	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.275	MM901	901	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.276	MM902	902	C93154	PL4	2x	NA	NA	clean	24	NA	PM	NA	.	.
CIP316601.277	MM903	903	C93154	PL4	2x	NA	NA	clean	24	NA	putDH	NA	.	.
CIP316601.278	MM904	904	C93154	PL4	2x	NA	NA	2x+6S.6L	25	non-inducer	putDH	NA	numerical	.
CIP316601.279	MM905	905	C93154	PL4	2x	NA	NA	2x+10S.10L	25	non-inducer	putDH	NA	numerical	.
CIP316601.280	MM906	906	C93154	PL4	2x	NA	NA	clean	NA	NA	atiDH	NA	.	.
CIP316601.281	MM907	907	C93154	PL4	4x	NA	NA	4x+4L+complex8	NA	NA	PM	shatter watch; too noisy with data at hand	.	broken
CIP316601.282	MM908	908	C93154	PL4	4x	NA	NA	4x-2L-8S.8L	NA	NA	PM	shatter watch; too noisy with data at hand	numerical	.
CIP516013.001	MM909	909	WA104	PL4	2x	NA	NA	2x+1S.1L	25	NA	putDH	NA	numerical	.
CIP516013.002	MM910	910	WA104	PL4	4x	NA	NA	4x-7L.7L	NA	NA	atiPM	NA	.	broken
CIP516020.001	MM911	911	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.002	MM912	912	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.003	MM913	913	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.004	MM914	914	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.005	MM915	915	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.006	MM916	916	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.007	MM917	917	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
CIP516020.008	MM918	918	WA077	PL4	2x	2x	TRUE	2x+2S.2L	25	non-inducer	putDH	NA	numerical	.
CIP516020.009	MM919	919	WA077	PL4	2x	2x	TRUE	clean	24	NA	putDH	NA	.	.
