sample	unit	fq1	fq2	parhap
clean_93003_dihaploids	KFRAG_00870_c	KFRAG_00870_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00871	KFRAG_00871.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00871_b	KFRAG_00871_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00871_c	KFRAG_00871_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00872	KFRAG_00872.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00872_b	KFRAG_00872_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00872_c	KFRAG_00872_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00873	KFRAG_00873.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00873_b	KFRAG_00873_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00873_c	KFRAG_00873_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00874	KFRAG_00874.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00874_b	KFRAG_00874_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00874_c	KFRAG_00874_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00875	KFRAG_00875.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00875_b	KFRAG_00875_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00875_c	KFRAG_00875_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00876	KFRAG_00876.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00876_b	KFRAG_00876_b.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00876_c	KFRAG_00876_c.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00878	KFRAG_00878.fq.gz	NaN	haploid
clean_93003_dihaploids	KFRAG_00878_b	KFRAG_00878_b.fq.gz	NaN	haploid
