sample	unit	fq1	fq2	parhap	mother	inducer
MM1133	KFRAG_01313_b	KFRAG_01313_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1133	KFRAG_01313_c	KFRAG_01313_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1134	KFRAG_01314	KFRAG_01314.fq.gz	NaN	haploid	LR00_014	IVP35
MM1134	KFRAG_01314_b	KFRAG_01314_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1134	KFRAG_01314_c	KFRAG_01314_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1135	KFRAG_01315	KFRAG_01315.fq.gz	NaN	haploid	LR00_014	IVP35
MM1135	KFRAG_01315_b	KFRAG_01315_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1135	KFRAG_01315_c	KFRAG_01315_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1136	KFRAG_01316	KFRAG_01316.fq.gz	NaN	haploid	LR00_014	IVP35
MM1136	KFRAG_01316_b	KFRAG_01316_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1136	KFRAG_01316_c	KFRAG_01316_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1137	KFRAG_01317	KFRAG_01317.fq.gz	NaN	haploid	LR00_014	IVP35
MM1137	KFRAG_01317_b	KFRAG_01317_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1137	KFRAG_01317_c	KFRAG_01317_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1138	KFRAG_01318	KFRAG_01318.fq.gz	NaN	haploid	LR00_014	IVP35
MM1138	KFRAG_01318_b	KFRAG_01318_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1138	KFRAG_01318_c	KFRAG_01318_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1139	KFRAG_01319	KFRAG_01319.fq.gz	NaN	haploid	LR00_014	IVP35
MM1139	KFRAG_01319_b	KFRAG_01319_b.fq.gz	NaN	haploid	LR00_014	IVP35
MM1139	KFRAG_01319_c	KFRAG_01319_c.fq.gz	NaN	haploid	LR00_014	IVP35
MM1140	KFRAG_01320	KFRAG_01320.fq.gz	NaN	haploid	LR00_014	IVP35
